date,EPA_PM2.5,EPA_PM10,EPA_NO2,12_PM2.5,12_PM10,12_NO2,35_PM2.5,35_PM10,35_NO2,36_PM2.5,36_PM10,36_NO2,43_PM2.5,43_PM10,43_NO2,54_PM2.5,54_PM10,54_NO2
2023-05-04T00:00:00+0000,7.98,15.31,7.65,10,10,15.96054615,31.33333333,33,19.64865682,3.666666667,3.666666667,14.75937709,5.333333333,5.333333333,17.83541409,7.333333333,7.333333333,19.18458014
2023-05-04T01:00:00+0000,9.52,16.58,6.14,10,10,16.00096403,34.33333333,42,19.69473487,6,6,14.46699066,6.333333333,6.333333333,17.88033843,10.66666667,10.66666667,19.23956735
2023-05-04T02:00:00+0000,10.87,17.75,5.62,9.5,9.5,16.0284804,43,47.66666667,19.99029499,8.333333333,8.333333333,14.66653127,9,9,18.13194931,13.66666667,13.66666667,19.49789536
2023-05-04T03:00:00+0000,12.68,21.58,7.79,16,16,16.29250411,34,38,20.30774815,11,11,15.08548977,12.33333333,12.33333333,18.4288099,17.66666667,17.66666667,19.81110245
2023-05-04T04:00:00+0000,11.77,20.39,14.32,12.5,12.5,16.73855044,36.66666667,39.66666667,20.61170094,10.66666667,10.66666667,15.66802246,9.333333333,9.333333333,18.70009319,13.66666667,13.66666667,20.17513038
2023-05-04T05:00:00+0000,11.45,20.68,26.17,11,11,16.98764192,41.33333333,43,20.44852627,9.5,9.5,16.30565481,8.333333333,8.333333333,18.6805519,14,14,20.0358644
2023-05-04T06:00:00+0000,13.63,30.99,59.63,11.5,11.5,20.5157276,40.66666667,43.33333333,21.87644182,9,9,19.98478221,9.666666667,9.666666667,18.6648756,13.33333333,13.33333333,19.84829081
2023-05-04T07:00:00+0000,15.74,49.16,55.66,10,10,19.96209296,53.66666667,56,21.30982424,10,10,19.58265259,6,6,18.42187073,12,12,19.48814476
2023-05-04T08:00:00+0000,14.52,36.01,45.24,11.5,11.5,19.32592574,50.66666667,57,20.79499074,8.666666667,8.666666667,19.19776588,11,11,18.15413384,12.66666667,12.66666667,19.0784982
2023-05-04T09:00:00+0000,17.28,40.66,37.90,20,20,18.93677866,40,48.66666667,20.75075185,10,10,19.02240669,10,10,18.09034297,14.33333333,14.33333333,18.91833459
2023-05-04T10:00:00+0000,22.66,50.10,40.34,19.5,20,18.22237969,50,55.66666667,20.08940297,16.66666667,16.66666667,18.66490859,16,16,17.91220388,21.66666667,23.33333333,18.56197273
2023-05-04T11:00:00+0000,23.59,56.00,31.03,21,21,17.32949929,35,42.33333333,20.11418899,19.66666667,19.66666667,18.19683422,17,17,17.6369728,21.33333333,21.66666667,18.07996876
2023-05-04T12:00:00+0000,24.13,54.49,40.84,20.66666667,20.66666667,18.01632565,50.5,57.5,20.64167883,19,19,18.54498588,18,18,17.95639779,22.66666667,23.66666667,18.47259901
2023-05-04T13:00:00+0000,25.97,68.67,33.30,18.5,18.5,17.88204422,44.66666667,52.33333333,20.21952463,19.33333333,19.33333333,18.40788954,19,19,17.94540862,22,22.33333333,18.42467314
